SampleID,Date,Month,Year,DayNight,OnOff,Timepoint,Completed,MissingT,Pool,Treatment,Heat,CO2YN,SA,Volume,DeltaVolume,Time.water.collected,Time.water.collected2,Temp,HannapH_raw,Salinity,DO,Light,HannapH,Raw.TA,CorrectedTA,CorrectedNN,CorrectedNitrite,CalculatedNitrate,Phosphate,NH4,pH,seacarbCO2,fCO2,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
1875,3/31/19,March,2019,Day,Off,1,Y,N,33,Warming,H,N,0.49,0.025,0.02475,12:36,12:36:00,9.9,-91.1,33.03,14.5,971,8.65,1169.08,1166.2,0.9,0,0.9,2.6,5.234,6.822913877,152.422184,3423.161668,1009.869171,3.908644845,1166.2,1024.000345,0.059705008,0.094226062
1877,3/31/19,March,2019,Day,Off,1,Y,N,35,CO2,N,C,0.23,0.009,0.00875,12:29,12:29:00,8.5,-102.2,32.03,15.15,92,8.86,1373.04,1370.16,0,0,0,0.798,6.182,6.634175319,268.2565508,5715.075704,1099.35867,2.544779504,1370.16,1107.370143,0.038907285,0.061686027
1878,3/31/19,March,2019,Day,Off,1,Y,N,36,Warming + CO2,H,C,0.22,0.0195,0.01925,12:25,12:25:00,7.7,-104.1,31.56,13.6,86,8.9,1518.36,1515.48,0,0,0,0.0654,2.977,6.623962936,308.6926546,6381.612981,1204.180081,2.607264632,1515.48,1211.57772,0.039865153,0.063358135
2497,9/19/19,September,2019,Day,On,1,Y,N,5,Warming + CO2,H,C,0.19,0.008,0.00775,8:36,8:36:00,13.4,-17.2,25.85,4.6,36,7.07,2017.8,1997.996596,1.56281,0.236576,1.326234,1.68,7.673,8.422575338,6.535048011,157.7281395,1736.759751,254.7017972,1997.996596,2344.407136,3.992195503,6.408709114
2498,9/19/19,September,2019,Day,On,1,Y,N,7,Unmanipulated,N,N,0.45,0.028,0.02775,8:32,8:32:00,13.3,-45.6,27.89,5.5,62,7.57,1973.03,1953.665985,1.56918,0.216192,1.352988,1.15,5.037,8.117841059,13.3716693,325.4511487,1802.336971,137.957345,1953.665985,2141.024347,2.154775475,3.431194139
2499,9/19/19,September,2019,Day,On,1,Y,N,8,Warming,H,N,0.23,0.007,0.00675,8:28,8:28:00,13.2,-48.7,27.41,7.07,80,7.62,1961.21,1941.961991,2.35269,0.334037,2.018653,1.22,6.733,8.10316342,13.90523442,336.4602289,1797.262057,130.7946997,1941.961991,2118.479394,2.044015973,3.261462799
2500,9/19/19,September,2019,Day,On,1,Y,N,9,CO2,N,C,0.135,0.003,0.00275,8:24,8:24:00,13.3,-25.1,23.33,5.2,18,7.21,2129.47,2108.570627,1.37808,0.325119,1.052961,2.08,11.82,8.383095562,7.986787718,189.4442456,1868.498225,232.0856138,2108.570627,2413.999063,3.644518846,5.921833524
2501,9/19/19,September,2019,Day,On,1,Y,N,10,Unmanipulated,N,N,0.14,0.0055,0.00525,8:20,8:20:00,13.4,-44.8,27.7,3.64,31,7.55,2048.46,2028.355688,0.87485,0.302187,0.572663,0.958,6.271,8.121776077,13.74861638,335.3180362,1870.315488,144.2915834,2028.355688,2221.527749,2.255231597,3.593028366
2502,9/19/19,September,2019,Day,On,1,Y,N,11,Warming + CO2,H,C,0.32,0.014,0.01375,8:16,8:16:00,13.5,-47.7,28.82,3.03,43,7.6,2367.15,2343.917952,1.5437,0.215555,1.328145,0.715,4.697,8.030878991,19.48193474,479.6640116,2183.168812,141.267205,2343.917952,2521.064422,2.203587002,3.495736499
2503,9/19/19,September,2019,Day,On,1,Y,N,13,Warming,H,N,0.48,0.022,0.02175,8:13,8:13:00,13.5,-53.2,29.33,5.63,37,7.7,2036.42,2016.433853,0.74745,0.286262,0.461188,0.724,4.88,7.996913076,18.07756213,446.3700695,1884.108039,114.2482515,2016.433853,2165.646707,1.779975783,2.818837133
2504,9/19/19,September,2019,Day,On,1,Y,N,15,CO2,N,C,0.11,0.005,0.00475,8:10,8:10:00,13.4,-44.2,23.81,4.61,19,7.54,2120.23,2099.421312,2.25077,0.300913,1.949857,1.12,8.603,8.199180562,12.46745073,297.4640736,1927.401289,159.5525724,2099.421312,2306.165914,2.505702118,4.060835623
2505,9/19/19,September,2019,Day,On,1,Y,N,16,Warming,H,N,0.22,0.0195,0.01925,8:06,8:06:00,13.5,-51.6,27.07,5.69,28,7.67,2035.03,2015.057495,0.91944,0.260782,0.658658,1.08,7.397,8.063786369,15.82851155,385.8827724,1874.342115,124.8868688,2015.057495,2178.839416,1.954722031,3.121320334
2510,9/19/19,September,2019,Day,On,1,Y,N,27,CO2,N,C,0.28,0.0125,0.01225,7:48,7:48:00,13.3,-55.3,26.95,6.67,15,7.74,1963.35,1944.080988,0.489465,0.239124,0.250341,0.693,2.726,8.039152864,16.32223802,395.160013,1814.757877,113.0008727,1944.080988,2091.969258,1.767849331,2.825408412
2513,9/19/19,September,2019,Day,On,1,Y,N,31,Unmanipulated,N,N,0.21,0.0065,0.00625,7:36,7:36:00,13.4,-35.3,22.37,2.79,10,7.39,1848.76,1830.615615,0.91307,0.365887,0.547183,1.09,9.316,8.338957457,7.863152807,186.0894134,1642.81857,179.9338923,1830.615615,2073.405129,2.827999868,4.617199798
2514,9/19/19,September,2019,Day,On,1,Y,N,33,Warming,H,N,0.49,0.025,0.02475,7:33,7:33:00,13.4,-57.9,27.28,6.45,11,7.78,1999.83,1980.20296,0.494561,0.229569,0.264992,0.598,4.006,7.995582288,18.33604033,446.1422314,1855.985998,105.8809218,1980.20296,2115.565071,1.656114355,2.64282077
2515,9/19/19,September,2019,Day,On,1,Y,N,35,CO2,N,C,0.23,0.009,0.00875,7:29,7:29:00,13.3,-62.3,26.62,7.88,15,7.86,2000.44,1993.619918,0.321934,0.258234,0.0637,0.397,1.514,7.95064197,20.79741125,502.5655277,1878.281738,94.54076921,1993.619918,2109.385435,1.479788751,2.368220204
2516,9/19/19,September,2019,Day,On,1,Y,N,36,Warming + CO2,H,C,0.22,0.0195,0.01925,7:26,7:26:00,13.4,-71.5,29.38,8.04,10,8.02,2013.69,2006.824745,0.500931,0.218103,0.282828,0.414,2.569,7.698367242,36.55124754,899.9547732,1912.117655,58.15584284,2006.824745,2057.072897,0.905678503,1.434316648
