SampleID,Date,Month,Year,DayNight,OnOff,Timepoint,Completed,MissingT,Pool,Treatment,Heat,CO2YN,SA,Volume,DeltaVolume,Time.water.collected,Time.water.collected2,Temp,HannapH_raw,Salinity,DO,Light,HannapH,Raw.TA,CorrectedTA,CorrectedNN,CorrectedNitrite,CalculatedNitrate,Phosphate,NH4,pH,seacarbCO2,fCO2,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
1760,3/27/19,March,2019,Night,Off,1,Y,N,5,Warming + CO2,H,C,0.19,0.008,0.00775,21:32,21:32:00,8.5,-73.6,30.47,8.5,0,8.35,1718.17,1742.405,1,0,1,1.25,7.89,7.361477798,76.45963161,1614.268256,1646.379502,19.56586635,1742.405,1698.993857,0.300367822,0.478247084
1761,3/27/19,March,2019,Night,Off,1,Y,N,7,Unmanipulated,N,N,0.45,0.028,0.02775,20:21,20:21:00,8.4,-90.1,30.5,12.4,0,8.64,1725.18,1749.415,0.329,0,0.329,1.13,5.746,6.901024346,206.5038476,4345.793752,1536.606128,6.305024536,1749.415,1554.416074,0.096768245,0.15408538
1762,3/27/19,March,2019,Night,Off,1,Y,N,8,Warming,H,N,0.23,0.007,0.00675,21:17,21:17:00,8.5,-86.7,30.59,9.84,0,8.58,1790.15,1814.385,0.408,0,0.408,0.783,4.956,6.971230261,184.7540183,3903.368593,1621.760102,7.870880075,1814.385,1643.228825,0.120797491,0.192266328
1763,3/27/19,March,2019,Night,Off,1,Y,N,9,CO2,N,C,0.135,0.003,0.00275,21:04,21:04:00,7.9,-51.8,30.45,8.21,0,7.96,1858.79,1883.025,7.85,0.239,7.611,2.31,13.896,7.92651954,22.92312818,474.0900879,1784.091486,76.01038593,1883.025,1979.416008,1.165700885,1.857870495
1764,3/27/19,March,2019,Night,Off,1,Y,N,10,Unmanipulated,N,N,0.14,0.0055,0.00525,20:59,20:59:00,7.9,-59.6,30.62,8.35,0,8.1,1744.58,1768.815,7.34,0.145,7.195,2.2,12.881,7.7875107,29.7930595,616.7815994,1686.622375,52.3995655,1768.815,1824.496989,0.803300058,1.279641722
1765,3/27/19,March,2019,Night,Off,1,Y,N,11,Warming + CO2,H,C,0.32,0.014,0.01375,20:53,20:53:00,8.2,-78.1,30.51,9.23,0,8.43,1582.6,1606.835,2.06,0,2.06,1.49,10.283,7.253802046,90.11158446,1883.57619,1502.935193,13.78822252,1606.835,1541.476969,0.211538841,0.33693113
1766,3/27/19,March,2019,Night,Off,1,Y,N,13,Warming,H,N,0.48,0.022,0.02175,20:46,20:46:00,8.8,-82.6,30.44,10.53,0,8.5,1807.46,1831.695,2.75,0,2.75,1.61,6.618,7.075348909,148.9587037,3176.533647,1672.337298,10.39899853,1831.695,1701.041503,0.159741356,0.254242383
1768,3/27/19,March,2019,Night,Off,1,Y,N,15,CO2,N,C,0.11,0.005,0.00475,20:34,20:34:00,9.7,-69.1,30.82,9.41,0,8.26,1856.3,1880.535,5.26,0,5.26,1.58,7.64,7.4293588,68.49929711,1508.865741,1785.788126,26.2475772,1880.535,1854.877692,0.403531277,0.640597531
1769,3/27/19,March,2019,Night,Off,1,Y,N,16,Warming,H,N,0.22,0.0195,0.01925,20:29,20:29:00,8.4,-70.5,30.03,9.99,0,8.29,1922.32,1946.555,4.06,0,4.06,1.79,7.915,7.4406901,72.05758851,1512.295392,1848.529463,25.96794844,1946.555,1916.527506,0.398957475,0.636170958
1692,3/26/19,March,2019,Night,Off,1,Y,N,27,CO2,N,C,0.28,0.0125,0.01225,20:51,20:51:00,8.1,-84.3,31.71,11.3,0,8.54,1957.43,1981.665,0.561,0,0.561,0.768,1.99,6.994987632,191.9062356,4025.628161,1780.520883,9.237881385,1981.665,1805.217247,0.141277741,0.224310686
1696,3/26/19,March,2019,Night,Off,1,Y,N,31,Unmanipulated,N,N,0.21,0.0065,0.00625,20:26,20:26:00,7.8,-85.5,31.39,11.93,0,8.56,1819.54,1843.775,0.805,0,0.805,1.2,5.517,6.996936027,179.6420052,3722.860708,1655.673571,8.459424105,1843.775,1679.089664,0.129422511,0.205754537
1698,3/26/19,March,2019,Night,Off,1,Y,N,33,Warming,H,N,0.49,0.025,0.02475,20:15,20:15:00,8.6,-79.1,31.8,10.32,0,8.44,1657.82,1682.055,0.893,0,0.893,1.45,7.562,7.161785107,112.712622,2406.240615,1557.215753,12.12662476,1682.055,1591.130521,0.185560109,0.294322077
1700,3/26/19,March,2019,Night,Off,1,Y,N,35,CO2,N,C,0.23,0.009,0.00875,20:05,20:05:00,8.2,-90.4,31.82,11.59,0,8.65,1742.53,1766.765,0.432,0,0.432,0.969,2.825,6.860643046,224.7481679,4733.715833,1536.128311,5.888521092,1766.765,1552.778477,0.090041451,0.142899158
1701,3/26/19,March,2019,Night,Off,1,Y,N,36,Warming + CO2,H,C,0.22,0.0195,0.01925,20:01,20:01:00,8,-98.4,31.22,15.59,0,8.79,1953.86,1978.095,1.51,0,1.51,0.772,6.93,6.712434482,340.0413041,7088.475602,1633.702045,4.351650912,1978.095,1645.713697,0.066627111,0.10593967
2434,9/21/19,September,2019,Night,On,1,Y,N,5,Warming + CO2,H,C,0.19,0.008,0.00775,21:48,21:48:00,12.6,-35.7,29.79,3.11,0,7.4,1983.35,1963.884701,0.540425,0.219377,0.321048,1.15,5.235,8.186232803,11.28658322,271.6018105,1788.694104,163.9040138,1963.884701,2192.718322,2.544060727,4.02999884
2435,9/21/19,September,2019,Night,On,1,Y,N,7,Unmanipulated,N,N,0.45,0.028,0.02775,21:53,21:53:00,12.8,-48.4,29.87,4.77,0,7.62,2042.74,2022.691826,1.84946,0.241035,1.608425,1.04,2.906,8.051656822,16.07116921,389.3741534,1879.07012,127.5505369,2022.691826,2193.834483,1.980488517,3.135243602
2436,9/21/19,September,2019,Night,On,1,Y,N,8,Warming,H,N,0.23,0.007,0.00675,21:57,21:57:00,12.6,-45.9,29.89,4.88,0,7.58,2025.45,2005.571516,0.843,0.228295,0.614705,0.884,3.038,8.082699173,14.85090115,357.5768425,1856.353799,134.3668157,2005.571516,2187.946788,2.0850632,3.301866532
2437,9/21/19,September,2019,Night,On,1,Y,N,9,CO2,N,C,0.135,0.003,0.00275,22:01,22:01:00,12.9,-7.5,29.62,1.63,0,6.9,2090.36,2069.844467,3.18716,0.507938,2.679222,2.85,15.02,8.470422794,5.717409524,138.7639433,1752.847466,311.2795918,2069.844467,2500.8522,4.837703994,7.66301288
2438,9/21/19,September,2019,Night,On,1,Y,N,10,Unmanipulated,N,N,0.14,0.0055,0.00525,22:06,22:06:00,12.7,-30,29.77,3.72,0,7.3,2032.99,2013.037516,1.21246,0.313653,0.898807,1.26,4.116,8.231996303,10.29613816,248.5265242,1817.10576,185.6356176,2013.037516,2271.406889,2.882315622,4.565227701
2439,9/21/19,September,2019,Night,On,1,Y,N,11,Warming + CO2,H,C,0.32,0.014,0.01375,22:10,22:10:00,12.7,-36.6,29.92,3.67,0,7.41,2030.21,2010.2848,0.646167,0.313016,0.333151,1.04,3.346,8.171860401,11.91952222,287.9563295,1834.554409,163.810869,2010.2848,2236.902939,2.5424703,4.025048787
2440,9/21/19,September,2019,Night,On,1,Y,N,13,Warming,H,N,0.48,0.022,0.02175,22:14,22:14:00,13.1,-50.7,29.66,5.04,0,7.66,2049.79,2029.672635,1.42267,0.384997,1.037673,0.563,2.583,8.025123675,17.10633932,417.8992989,1891.052634,121.5136615,2029.672635,2190.18328,1.889377279,2.991246439
2441,9/21/19,September,2019,Night,On,1,Y,N,15,CO2,N,C,0.11,0.005,0.00475,22:17,22:17:00,12.1,-43.1,12.8,3.72,0,7.53,1642.65,1626.528451,3.59484,0.335948,3.258892,1.29,4.044,8.556820997,4.942824524,106.2772435,1435.869548,185.7160784,1626.528451,1857.812228,2.905558217,5.049274395
2442,9/21/19,September,2019,Night,On,1,Y,N,16,Warming,H,N,0.22,0.0195,0.01925,22:21,22:21:00,12.9,-41.8,22.95,4.97,0,7.5,2034.87,2014.899065,0.85574,0.285625,0.570115,0.505,2.531,8.262782425,10.51129937,245.6556012,1836.04346,168.3443061,2014.899065,2235.148341,2.640020558,4.301386799
2447,9/21/19,September,2019,Night,On,1,Y,N,27,CO2,N,C,0.28,0.0125,0.01225,22:40,22:40:00,12.5,-48.4,27.12,5.33,0,7.62,2039.92,2019.899503,0.637886,0.237213,0.400673,0.634,1.85,8.117715053,14.28035582,337.4012054,1869.747934,135.8712132,2019.899503,2200.219823,2.11963994,3.390622066
2450,9/21/19,September,2019,Night,On,1,Y,N,31,Unmanipulated,N,N,0.21,0.0065,0.00625,22:53,22:53:00,12.6,-33.1,19.48,3.5,0,7.35,1989.3,1969.776305,0.706682,0.28244,0.424242,1.56,7.36,8.422785472,7.386189601,167.6433248,1755.226749,207.1633669,1969.776305,2237.498536,3.246523088,5.396616464
2451,9/21/19,September,2019,Night,On,1,Y,N,33,Warming,H,N,0.49,0.025,0.02475,22:57,22:57:00,12.4,-31.3,25.47,3.75,0,7.32,2057.18,2036.990107,0.313653,0.208548,0.105105,0.418,2.159,8.311268576,9.162551645,213.7803766,1830.11364,197.7139158,2036.990107,2302.258452,3.089716554,4.977972464
2452,9/21/19,September,2019,Night,On,1,Y,N,35,CO2,N,C,0.23,0.009,0.00875,23:01,23:01:00,12.2,-31.5,23.14,7.6,0,7.33,2115.51,2094.747636,0.7156,0.244857,0.470743,0.644,1.488,8.351969187,8.886792642,203.3100168,1878.854037,207.0068061,2094.747636,2365.660562,3.237625112,5.276971366
2453,9/21/19,September,2019,Night,On,1,Y,N,36,Warming + CO2,H,C,0.22,0.0195,0.01925,23:06,23:06:00,12.6,-48.5,27.42,6.92,0,7.63,2082.36,2061.922982,0.520678,0.214281,0.306397,0.305,0.674,8.099165158,15.14803481,359.6554682,1912.038312,134.7366356,2061.922982,2238.820003,2.101602046,3.357146602
